日期,天气状况,风力风向(夜间/白天),最低气温,最高气温
2011年01月01日,雨夹雪  /雨夹雪,北风 3-4级  /北风 3-4级,1,2
2011年01月02日,雨夹雪  /小雪,北风 3-4级  /北风 3-4级,3,1
2011年01月03日,小雪  /阴,北风 微风  /北风 微风,1,0
2011年01月04日,阴  /雨夹雪,北风 微风  /北风 微风,1,3
2011年01月05日,阴  /小雪,北风 3-4级  /北风 3-4级,2,1
2011年01月06日,阴  /阴,北风 微风  /北风 微风,0,3
2011年01月07日,多云  /多云,北风 微风  /北风 微风,2,6
2011年01月08日,多云  /阴,北风 微风  /北风 微风,1,6
2011年01月09日,阴  /阴,北风 3-4级  /北风 3-4级,1,5
2011年01月10日,阴  /雨夹雪,北风 3-4级  /北风 3-4级,1,3
2011年01月11日,阴  /多云,北风 微风  /北风 微风,2,5
2011年01月12日,晴  /多云,北风 微风  /北风 微风,1,9
2011年01月13日,多云  /阴,北风 微风  /北风 3-4级,3,9
2011年01月14日,小雨  /阴,北风 3-4级  /北风 微风,0,6
2011年01月15日,阴  /多云,北风 微风  /北风 微风,2,9
2011年01月16日,多云  /阴,北风 微风  /北风 微风,0,7
2011年01月17日,阴  /小雪,北风 微风  /北风 微风,0,3
2011年01月18日,中雪  /大到暴雪,北风 微风  /北风 微风,2,1
2011年01月19日,大到暴雪  /中雪,北风 微风  /北风 微风,2,0
2011年01月20日,小到中雪  /多云,北风 微风  /北风 微风,2,0
2011年01月21日,多云  /多云,北风 微风  /北风 微风,3,5
2011年01月22日,阴  /小雨,北风 微风  /北风 微风,1,4
2011年01月23日,雾  /阴,北风 微风  /北风 微风,1,5
2011年01月24日,阴  /阴,北风 微风  /北风 微风,1,5
2011年01月25日,阴  /小雨,北风 微风  /北风 微风,1,5
2011年01月26日,阴  /小雨,北风 微风  /北风 微风,0,4
2011年01月27日,阴  /小雪,北风 微风  /北风 微风,0,3
2011年01月28日,小雨  /多云,北风 微风  /北风 微风,0,3
2011年01月29日,多云  /多云,北风 微风  /北风 微风,1,7
2011年01月30日,多云  /多云,北风 微风  /北风 微风,2,7
2011年01月31日,多云  /阴,北风 微风  /北风 微风,1,8
